index,year,iso_code,population,gdp,renewables_electricity,fossil_fuel_consumption,greenhouse_gas_emissions,energy_per_gdp
837,2017,BOL,11344591.0,73419862854.0,2.4100000858306885,0.0,5.320000171661377,1.2764548063278198
838,2018,BOL,11508370.0,76521114837.0,2.970000028610229,0.0,5.260000228881836,1.2523634433746338
839,2019,BOL,11671386.0,78217588630.0,3.75,0.0,4.960000038146973,1.2225743532180786
840,2020,BOL,11816301.0,71382934039.0,3.660000085830689,0.0,4.96999979019165,1.108406901359558
841,2021,BOL,11937369.0,75741579784.0,4.179999828338623,0.0,5.079999923706055,1.2508193254470823
842,2022,BOL,12077156.0,78165311428.0,4.170000076293945,0.0,5.670000076293945,1.3217494487762451
843,2023,BOL,12244161.0,78165311428.0,4.179999828338623,0.0,6.289999961853027,1.3217494487762451
844,2024,BOL,12413318.0,78165311428.0,4.599999904632568,0.0,6.699999809265137,1.3217494487762451
845,2025,BOL,12581847.0,78165311428.0,4.920000076293945,0.0,6.559999942779541,1.3217494487762451
846,1992,BIH,4234620.0,16213891161.0,5.090000152587891,0.0,5.400000095367432,2.266228437423706
847,1993,BIH,3904484.0,11077007356.0,5.090000152587891,0.0,5.400000095367432,2.4154956340789795
848,1994,BIH,3725412.0,11242944737.0,5.090000152587891,0.0,5.400000095367432,2.3304519653320312
849,1995,BIH,3715565.0,11770817203.0,5.090000152587891,0.0,5.400000095367432,4.047026634216309
850,1996,BIH,3875246.0,17934743605.0,5.090000152587891,0.0,5.400000095367432,1.3273632526397705
851,1997,BIH,4018228.0,21766878558.0,5.090000152587891,0.0,5.400000095367432,1.8172929286956787
852,1998,BIH,4089357.0,24470419886.0,5.090000152587891,0.0,5.400000095367432,1.985799551010132
853,1999,BIH,4130312.0,26775071100.0,5.090000152587891,0.0,5.400000095367432,1.7723544836044312
854,2000,BIH,4159785.0,27629709487.0,5.090000152587891,0.0,5.400000095367432,1.9741498231887815
855,2001,BIH,4179446.0,27937499205.0,5.179999828338623,0.0,5.5,1.9306409358978271
